event_type,gbtt_timestamp,original_loc_stanox,planned_timestamp,timetable_variation,original_loc_timestamp,current_train_id,delay_monitoring_point,next_report_run_time,reporting_stanox,actual_timestamp,correction_ind,event_source,train_file_address,platform,division_code,train_terminated,train_id,offroute_ind,variation_status,train_service_code,toc_id,loc_stanox,auto_expected,direction_ind,route,planned_event_type,next_report_stanox,line_ind
DEPARTURE,,,2023-05-27 05:46:30,13,,,false,1,00000,2023-05-27 05:33:00,false,AUTOMATIC,,,20,false,325B66M427,false,EARLY,11817020,20,36601,true,DOWN,DOWN,DEPARTURE,36600,W
DEPARTURE,,,2023-05-27 05:37:30,4,,,false,2,00000,2023-05-27 05:33:00,false,AUTOMATIC,,,23,false,172I02M527,false,EARLY,11868820,23,18635,true,DOWN,DOWN,DEPARTURE,18641,B
ARRIVAL,2023-05-27 05:34:00,,2023-05-27 05:34:30,0,,,true,,06211,2023-05-27 05:34:00,false,AUTOMATIC,, 2,60,true,065L02M527,false,ON TIME,23563015,60,06211,true,UP,UP,DESTINATION,,
ARRIVAL,2023-05-27 05:39:00,,2023-05-27 05:39:00,4,,,true,8,18641,2023-05-27 05:35:00,false,AUTOMATIC,, 2,23,false,172I02M527,false,EARLY,11868820,23,18641,true,UP,UP,ARRIVAL,18635,
DEPARTURE,2023-05-27 05:32:00,,2023-05-27 05:32:30,0,,,false,2,00000,2023-05-27 05:32:00,false,AUTOMATIC,, 2,30,false,529A01M527,false,ON TIME,22215003,30,52078,true,DOWN,DOWN,DEPARTURE,52080,
ARRIVAL,2023-05-27 05:33:00,,2023-05-27 05:33:00,0,,,true,1,25316,2023-05-27 05:33:00,false,AUTOMATIC,, 4,23,false,252L38M527,false,ON TIME,11802820,23,25316,true,DOWN,DOWN,ARRIVAL,25306,
DEPARTURE,,,2023-05-27 05:51:00,18,,,false,2,00000,2023-05-27 05:33:00,false,AUTOMATIC,,,61,false,233B81M427,false,EARLY,21704001,61,44030,true,UP,UP,DEPARTURE,44036,S
DEPARTURE,2023-05-27 05:33:00,,2023-05-27 05:33:30,1,,,true,4,51722,2023-05-27 05:32:00,false,AUTOMATIC,, 2,21,false,472S01M527,false,EARLY,21913000,21,51722,true,UP,UP,DEPARTURE,51815,U
DEPARTURE,2023-05-27 05:32:00,,2023-05-27 05:32:00,0,,,true,3,87625,2023-05-27 05:32:00,false,AUTOMATIC,, 5,30,false,879B01M527,false,ON TIME,22215003,30,87625,true,UP,UP,DEPARTURE,87626,
ARRIVAL,2023-05-27 05:34:00,,2023-05-27 05:34:00,0,,,true,1,63201,2023-05-27 05:34:00,false,AUTOMATIC,, 1,88,false,629V15M527,false,ON TIME,22728000,88,63201,true,UP,UP,ARRIVAL,63208,
ARRIVAL,2023-05-27 05:33:00,,2023-05-27 05:33:00,0,,,true,1,51203,2023-05-27 05:33:00,false,AUTOMATIC,, 2,79,false,512D00M527,false,ON TIME,24936004,79,51203,true,DOWN,DOWN,ARRIVAL,51130,
DEPARTURE,,,2023-05-27 05:32:00,0,,,true,4,87249,2023-05-27 05:32:00,false,AUTOMATIC,, 3,80,false,871S001527,false,ON TIME,24604004,80,87249,true,DOWN,DOWN,DEPARTURE,88314,M
